RNA-DMSO-1	RNA-DMSO-2	RNA-DMSO-3	RNA-TPG-1	RNA-TPG-2	RNA-TPG-3
SCARA5	34	17	36	25	26	19
SCARB1	437	437	440	453	422	410
SCARB2	247	251	274	200	235	183
SCARF1	0	0	0	0	0	0
SCARF2	32	33	36	59	35	26
SCART1	0	0	0	0	2	0
SCCPDH	104	50	72	49	94	72
SCD	811	586	631	885	957	931
SCD5	92	121	78	72	36	70
SCEL	0	0	0	0	0	0
SCFD1	682	478	634	794	868	803
SCFD2	81	95	92	103	62	58
SCG2	0	0	0	0	0	0
SCG3	1	2	5	0	8	5
SCG5	0	0	0	0	0	0
SCGB1A1	2	0	0	0	0	0
SCGB1C1	0	0	0	0	0	0
SCGB1C2	0	0	0	0	0	0
SCGB1D1	0	0	0	0	0	0
SCGB1D2	4	0	2	0	0	0
SCGB1D4	0	0	0	0	0	0
SCGB2A1	0	0	0	0	0	0
SCGB2A2	0	0	0	0	0	0
SCGB2B2	11	0	0	2	0	0
SCGB3A1	0	0	0	0	0	0
SCGB3A2	0	0	0	0	0	0
SCGN	3	0	2	3	0	0
SCHIP1	313	230	222	291	220	248
SCIMP	0	0	0	0	0	0
SCIN	80	43	72	72	75	43
SCLT1	186	192	214	181	316	162
SCLY	150	149	161	246	252	227
SCMH1	142	132	73	179	151	119
SCML1	324	345	239	338	400	325
SCML2	127	114	118	121	124	126
SCML4	0	0	0	0	0	0
SCN10A	0	0	0	0	0	0
SCN11A	0	1	2	3	0	5
SCN1A	0	0	0	0	0	0
SCN1B	46	19	18	15	57	33
SCN2A	13	42	6	8	13	1
SCN2B	0	0	0	0	0	0
SCN3A	0	0	0	4	0	0
SCN3B	37	18	12	30	6	11
SCN4A	0	0	0	0	0	0
SCN4B	5	7	3	0	0	13
SCN5A	0	0	0	2	0	0
SCN7A	0	0	0	0	0	0
SCN8A	90	60	87	98	91	61
SCN9A	46	53	83	22	34	51
SCNM1	175	135	168	157	167	178
SCNN1A	0	0	0	0	0	0
SCNN1B	0	0	0	0	0	0
SCNN1D	0	9	5	0	6	0
SCNN1G	0	0	0	0	0	0
SCO1	622	473	542	478	471	493
SCO2	492	365	250	415	422	407
SCOC	353	299	334	397	299	337
SCP2	297	206	249	249	288	168
SCP2D1	0	0	0	0	0	0
SCPEP1	144	96	155	154	119	120
SCRG1	2	0	2	0	1	0
SCRIB	0	0	0	0	0	0
SCRN1	281	231	236	224	243	232
SCRN2	17	14	10	11	18	19
SCRN3	142	140	139	164	192	121
SCRT1	0	0	0	0	0	0
SCRT2	0	0	0	0	0	0
SCT	0	0	0	0	0	0
SCTR	0	0	0	0	0	0
SCUBE1	5	6	0	5	0	2
SCUBE2	0	0	0	4	0	0
SCUBE3	6	4	9	4	0	2
SCX	0	0	0	0	0	0
SCYGR4	0	0	0	0	0	0
SCYGR8	0	0	0	0	0	0
SCYL1	258	203	166	269	166	276
SCYL2	249	169	236	228	254	253
SCYL3	48	54	63	82	135	86
SDAD1	306	169	157	301	396	353
SDC1	135	89	103	99	57	64
SDC2	200	119	146	179	108	135
SDC3	32	10	14	12	0	10
SDC4	200	94	125	130	106	112
SDCBP	300	329	313	356	361	281
SDCBP2	0	4	5	17	0	0
SDCCAG8	0	0	0	0	0	0
SDE2	654	543	514	620	647	648
SDF2	182	117	105	162	141	149
SDF2L1	130	66	62	812	766	818
SDF4	611	391	482	506	492	547
SDHA	213	178	252	194	181	261
SDHAF1	273	292	225	387	373	358
SDHAF2	155	114	93	129	131	77
SDHAF3	198	171	204	203	192	162
SDHAF4	43	16	12	17	1	22
SDHB	383	318	266	269	347	272
SDHC	223	169	203	208	207	231
SDHD	181	226	232	175	175	193
SDK1	82	75	73	104	74	98
SDK2	27	32	24	31	21	26
SDR16C5	0	0	0	0	0	0
SDR39U1	331	226	254	374	500	286
SDR42E1	0	0	0	0	0	0
SDR42E2	0	0	0	0	0	0
SDR9C7	2	0	0	0	0	0
SDS	0	0	0	0	0	0
SDSL	17	17	9	19	11	42
SEBOX	0	0	0	0	0	0
SEC11A	504	402	439	497	460	523
SEC11C	187	189	125	285	306	298
SEC13	567	479	430	632	631	529
SEC14L1	158	119	136	150	117	130
SEC14L2	8	9	9	14	6	19
SEC14L3	6	0	0	1	0	2
SEC14L4	0	0	0	0	0	0
SEC14L5	0	0	0	0	0	0
SEC14L6	0	0	0	0	0	0
SEC16A	391	313	265	347	411	337
SEC16B	0	0	2	0	0	2
SEC22A	220	193	222	254	309	311
SEC22B	145	161	188	235	230	162
SEC22C	235	254	188	249	171	147
SEC23A	178	163	150	238	240	232
SEC23B	289	283	260	310	358	358
SEC23IP	522	418	426	518	566	603
SEC24A	259	255	299	349	372	342
SEC24B	106	144	109	156	188	131
SEC24C	241	198	216	265	253	276
SEC24D	105	73	101	201	231	249
SEC31A	773	522	687	1029	970	933
SEC31B	24	31	66	54	45	67
SEC61A1	205	146	98	271	296	214
SEC61A2	110	55	61	86	117	83
SEC61B	209	195	188	313	252	304
SEC61G	260	221	153	237	250	203
SEC62	878	733	812	885	848	844
SEC63	400	327	394	882	647	717
SECISBP2	104	88	66	125	122	114
SECISBP2L	134	91	114	119	121	111
SECTM1	12	0	1	3	7	0
SEH1L	264	240	301	290	250	304
SEL1L	152	165	137	469	570	505
SEL1L2	0	4	0	0	0	0
SEL1L3	81	106	64	80	114	86
SELE	0	0	0	0	0	0
SELENBP1	44	47	13	71	49	40
SELENOF	1088	760	845	967	926	908
SELENOH	431	309	331	433	521	383
SELENOI	209	137	186	214	273	151
SELENOK	174	119	156	525	479	582
SELENOM	2	15	20	18	28	12
SELENON	34	30	18	32	29	46
SELENOO	77	31	51	73	48	67
SELENOP	12	5	10	14	6	14
SELENOS	326	264	279	457	565	472
SELENOT	269	244	239	398	320	247
SELENOV	0	9	2	1	10	0
SELENOW	92	66	66	42	39	36
SELL	1	0	7	0	0	0
SELP	0	0	0	0	0	0
SELPLG	3	2	0	0	10	0
SEM1	313	260	346	301	383	291
SEMA3A	53	25	25	44	29	38
SEMA3B	0	3	7	0	0	0
SEMA3C	201	128	168	151	163	223
SEMA3D	23	32	31	53	6	18
SEMA3E	106	57	90	103	75	67
SEMA3F	1	2	8	10	5	2
SEMA3G	0	0	1	2	0	0
SEMA4A	0	0	0	0	0	0
SEMA4B	72	80	56	51	33	61
SEMA4C	39	34	26	61	43	60
SEMA4D	83	61	35	48	57	87
SEMA4F	16	37	29	40	37	33
SEMA4G	2	1	5	4	0	0
SEMA5A	0	0	0	0	0	0
SEMA5B	4	1	0	0	0	4
SEMA6A	742	541	599	538	581	545
SEMA6B	0	0	0	0	0	0
SEMA6C	7	1	0	1	0	9
SEMA6D	40	33	55	60	32	23
SEMA7A	0	0	0	0	0	0
SEMG1	0	0	0	0	0	0
SEMG2	0	0	0	0	0	0
SENP1	588	447	578	716	584	486
SENP2	232	253	282	264	260	221
SENP3	376	185	199	227	310	240
SENP3-EIF4A1	2579	1770	2127	2595	2485	2145
SENP5	181	230	241	253	226	241
SENP6	1136	947	1250	1415	1382	1427
SENP7	20	45	52	60	40	42
SENP8	94	160	103	124	113	81
SEPHS1	449	377	376	549	526	423
SEPHS2	1622	1351	1550	2001	1847	1745
SEPSECS	87	54	55	125	102	93
SEPTIN1	3	0	0	7	0	6
SEPTIN10	136	106	156	122	157	162
SEPTIN11	330	199	344	305	222	267
SEPTIN12	0	0	0	0	0	3
SEPTIN14	0	0	0	0	0	0
SEPTIN2	869	801	846	888	881	804
SEPTIN3	44	19	60	22	43	8
SEPTIN4	2	0	3	0	1	7
SEPTIN5	1	6	0	4	4	9
SEPTIN6	327	210	299	344	333	440
SEPTIN7	305	238	313	305	228	295
SEPTIN8	312	238	297	224	321	235
SEPTIN9	393	202	299	342	285	241
SERAC1	48	57	49	61	88	40
SERBP1	6041	4762	5420	5733	5453	5127
SERF1A	0	0	0	0	2	0
SERF1B	0	0	0	0	0	0
SERF2	1050	837	906	845	854	862
SERGEF	124	58	184	140	132	172
SERHL2	19	0	8	1	5	2
SERINC1	291	284	227	358	201	327
SERINC2	14	11	22	18	22	15
SERINC3	280	273	294	339	426	255
SERINC4	0	3	3	0	0	3
SERINC5	39	50	44	15	51	37
SERP1	410	268	324	592	527	502
SERP2	84	75	89	103	141	103
SERPINA1	0	0	0	0	0	0
SERPINA10	0	0	0	0	0	0
SERPINA11	0	0	0	0	0	0
SERPINA12	0	0	0	0	0	0
SERPINA3	0	0	0	0	0	0
SERPINA4	0	0	0	0	0	0
SERPINA5	0	0	0	0	0	0
SERPINA6	0	0	0	0	0	0
SERPINA7	0	0	0	0	0	0
SERPINA9	0	0	0	0	0	0
SERPINB1	62	75	95	82	69	54
SERPINB10	0	0	0	0	0	0
SERPINB11	0	0	0	0	0	0
SERPINB12	0	0	0	0	0	0
SERPINB13	0	0	0	0	0	0
SERPINB2	0	0	0	0	0	0
SERPINB3	0	0	0	0	0	0
SERPINB4	0	0	0	0	0	0
SERPINB5	22	19	0	0	9	12
SERPINB6	16	24	62	64	25	37
SERPINB7	0	0	0	0	0	0
SERPINB8	3	4	6	3	1	7
SERPINB9	0	0	4	0	0	0
SERPINC1	0	0	0	0	0	0
SERPIND1	0	0	0	0	0	0
SERPINE1	0	0	0	1	9	0
SERPINE2	132	138	96	169	205	177
SERPINE3	0	0	0	0	0	0
SERPINF1	13	5	5	12	19	6
SERPINF2	0	0	0	0	0	0
SERPING1	0	0	0	10	0	0
SERPINH1	122	78	84	71	97	74
SERPINI1	0	3	0	0	0	0
SERPINI2	0	0	0	0	0	0
SERTAD1	150	101	131	220	230	186
SERTAD2	429	343	294	417	449	393
SERTAD3	21	16	18	15	18	7
SERTAD4	0	0	0	0	0	0
SERTM1	52	69	51	19	53	38
SERTM2	0	0	0	0	0	0
SESN1	243	207	207	272	417	237
SESN2	2	6	2	11	15	15
SESN3	228	194	224	194	221	180
SESTD1	197	141	172	274	144	161
SET	4391	3556	4608	3708	3629	3171
SETBP1	314	185	179	224	232	249
SETD1A	179	239	136	278	247	188
SETD1B	590	469	485	449	427	500
SETD2	618	487	522	638	534	611
SETD3	391	421	414	510	520	486
SETD4	325	277	258	386	468	374
SETD5	2183	1640	1801	2449	2480	2248
SETD6	565	502	564	490	571	477
SETD7	331	301	272	394	478	387
SETD9	65	70	39	72	54	56
SETDB1	506	432	383	556	539	482
SETDB2	73	21	39	32	27	36
SETMAR	90	57	83	109	77	79
SETX	278	291	279	508	621	423
SEZ6	0	0	0	0	0	0
SEZ6L	0	0	0	0	0	0
SEZ6L2	12	8	6	21	8	11
SF1	1250	981	848	912	882	1027
SF3A1	896	816	733	1000	853	952
SF3A2	35	14	13	24	65	40
SF3A3	425	494	411	436	421	394
SF3B1	697	538	743	840	716	576
SF3B2	599	546	485	625	575	545
SF3B3	685	510	522	631	624	493
SF3B4	228	187	254	226	286	327
SF3B5	536	454	415	711	592	622
SF3B6	388	243	259	382	318	305
SFI1	132	99	130	212	145	215
SFMBT1	41	33	42	51	53	43
SFMBT2	428	317	334	542	493	669
SFN	2	0	0	1	11	1
SFPQ	1585	1274	1323	1494	1400	1402
SFR1	84	88	69	75	46	47
SFRP1	31	25	14	10	9	18
SFRP2	0	0	1	0	0	0
SFRP4	0	2	0	3	2	5
SFRP5	7	3	4	5	0	4
SFSWAP	1068	755	842	1173	1088	1186
SFT2D1	256	217	179	185	205	267
SFT2D2	472	442	500	515	453	448
SFT2D3	120	129	120	157	161	201
SFTA2	0	0	0	0	0	0
SFTA3	0	0	0	0	0	0
SFTPA1	0	0	0	0	0	0
SFTPA2	0	0	0	0	0	0
SFTPB	0	0	0	0	0	0
SFTPC	0	0	0	0	0	0
SFTPD	0	0	0	0	0	0
SFXN1	1182	934	1207	1134	1043	1030
SFXN2	104	96	146	182	217	158
SFXN3	12	25	23	10	3	21
SFXN4	88	79	56	156	79	110
SFXN5	129	77	81	138	117	73
SGCA	0	0	0	0	0	0
SGCB	127	144	97	187	89	115
SGCD	1	2	0	0	1	3
SGCE	190	165	178	159	255	171
SGCG	0	0	0	0	0	0
SGCZ	0	0	0	0	0	0
SGF29	63	70	50	89	41	58
SGIP1	16	19	17	15	20	23
SGK1	39	26	18	43	48	36
SGK2	2	0	2	0	0	0
SGK3	103	85	125	113	186	106
SGMS1	190	160	156	210	202	149
SGMS2	241	237	233	204	330	236
SGO1	487	418	407	504	554	330
SGO2	486	343	463	360	334	282
SGPL1	229	210	215	331	254	205
SGPP1	0	2	0	0	0	0
SGPP2	119	102	104	93	102	89
SGSH	41	33	51	52	67	82
SGSM1	9	1	11	6	14	1
SGSM2	57	46	44	41	52	49
SGSM3	12	4	10	4	27	8
SGTA	175	146	117	133	166	140
SGTB	176	214	189	154	327	273
SH2B1	90	119	85	36	58	82
SH2B2	12	4	19	11	18	9
SH2B3	35	55	44	51	59	49
SH2D1A	0	0	0	0	0	0
SH2D1B	0	0	0	0	0	0
SH2D2A	2	6	7	11	13	12
SH2D3A	0	1	0	0	0	13
SH2D3C	4	8	3	13	1	9
SH2D4A	57	40	19	31	22	32
SH2D4B	0	0	0	0	0	0
SH2D5	29	30	30	17	38	21
SH2D6	0	0	0	0	0	0
SH2D7	0	0	0	0	0	0
SH3BGR	37	26	26	28	25	53
SH3BGRL	41	24	15	21	23	14
SH3BGRL2	174	121	145	149	135	128
SH3BGRL3	37	24	76	63	73	89
SH3BP1	46	21	21	21	27	13
SH3BP2	82	47	65	76	75	53
SH3BP4	267	163	207	125	213	129
SH3BP5	356	273	251	254	251	251
SH3BP5L	18	12	30	23	13	4
SH3D19	101	112	184	120	141	162
SH3D21	9	16	19	4	9	3
SH3GL1	119	91	111	96	146	116
SH3GL2	49	35	57	92	36	41
SH3GL3	227	129	177	240	176	250
SH3GLB1	411	383	355	367	345	301
SH3GLB2	44	54	71	83	63	87
SH3KBP1	191	105	125	133	177	96
SH3PXD2A	70	36	33	65	39	43
SH3PXD2B	37	23	16	27	31	20
SH3RF1	320	357	299	311	311	280
SH3RF2	6	1	0	0	4	4
SH3RF3	45	45	26	51	37	53
SH3TC1	0	0	0	0	0	1
SH3TC2	0	0	0	6	9	3
SH3YL1	14	11	19	10	6	12
SHANK1	0	0	0	0	0	0
SHANK2	1	0	1	1	9	0
SHANK3	4	0	4	1	3	0
SHARPIN	19	27	6	19	40	13
SHB	110	139	89	158	111	109
SHBG	0	0	0	0	0	1
SHC1	237	122	104	126	184	140
SHC2	9	0	1	14	35	21
SHC3	11	0	7	11	8	4
SHC4	1	0	6	13	25	2
SHCBP1	382	339	272	378	442	421
SHCBP1L	0	0	0	0	0	0
SHD	0	1	0	0	1	0
SHE	0	0	0	0	0	0
SHF	10	0	7	0	0	13
SHFL	0	0	0	0	0	0
SHH	0	2	0	3	0	0
SHISA2	164	91	124	177	127	116
SHISA3	13	14	27	9	4	16
SHISA4	0	0	3	0	0	0
SHISA5	143	99	110	132	100	104
SHISA6	0	0	6	0	0	0
SHISA7	0	0	0	0	0	0
SHISA8	25	2	14	12	10	18
SHISA9	1	1	0	1	3	0
SHISAL1	42	18	26	7	10	18
SHISAL2A	0	0	0	0	0	0
SHISAL2B	19	2	17	17	13	5
SHKBP1	52	50	26	76	29	64
SHLD1	216	141	164	191	144	197
SHLD2	124	50	108	64	71	113
SHLD3	104	96	77	152	81	97
SHMT1	0	0	0	2	0	1
SHMT2	324	319	305	999	1192	1010
SHOC1	0	0	4	0	0	0
SHOC2	222	176	221	254	228	263
SHOX	0	0	0	0	0	0
SHOX2	168	97	170	133	22	90
SHPK	71	59	65	99	153	90
SHPRH	629	508	667	611	589	609
SHQ1	322	197	258	274	215	298
SHROOM1	39	21	20	19	17	27
SHROOM2	0	0	0	0	0	0
SHROOM3	141	140	143	121	117	89
SHROOM4	0	0	0	0	0	0
SHTN1	327	274	297	287	258	235
SI	0	0	2	0	0	0
SIAE	4	37	11	19	28	32
SIAH1	296	221	332	408	435	392
SIAH2	257	139	167	308	260	294
SIAH3	0	0	0	0	0	0
SIDT1	5	3	0	0	0	0
SIDT2	10	14	18	20	19	8
SIGIRR	22	19	20	20	13	18
SIGLEC1	0	0	0	0	0	0
SIGLEC10	0	0	0	0	0	0
SIGLEC11	0	0	0	0	0	0
SIGLEC12	0	0	0	0	0	0
SIGLEC14	0	0	0	0	0	0
SIGLEC15	0	0	0	0	0	0
SIGLEC16	0	0	0	1	0	0
SIGLEC5	0	0	0	0	0	0
SIGLEC6	0	0	0	0	0	0
SIGLEC7	0	0	0	0	0	0
SIGLEC8	0	0	0	0	0	0
SIGLEC9	0	0	0	0	0	0
SIGLECL1	0	0	0	0	0	0
SIGMAR1	809	694	657	768	656	658
SIK1	0	7	9	0	0	0
SIK1B	0	0	0	0	0	0
SIK2	116	61	92	154	55	126
SIK3	230	185	209	246	202	248
SIKE1	376	307	258	420	370	301
SIL1	15	2	7	17	13	18
SIM1	22	36	67	41	54	65
SIM2	376	313	292	259	264	255
SIMC1	137	107	121	141	121	126
SIN3A	928	545	604	775	765	803
SIN3B	315	252	266	294	258	259
SINHCAF	1	0	4	2	0	1
SIPA1	3	9	1	12	4	4
SIPA1L1	159	157	117	128	193	121
SIPA1L2	292	221	265	413	355	302
SIPA1L3	266	211	242	287	221	239
SIRPA	55	60	45	53	11	14
SIRPB1	0	0	0	0	0	0
SIRPB2	0	0	0	0	0	0
SIRPD	0	0	0	0	0	0
SIRPG	0	0	0	0	0	0
SIRT1	452	288	435	557	579	666
SIRT2	0	0	1	0	0	0
SIRT3	54	69	36	27	31	45
SIRT4	11	2	14	11	2	5
SIRT5	136	177	154	138	87	108
SIRT6	17	15	22	22	28	48
SIRT7	186	144	155	159	201	160
SIT1	0	0	0	0	0	0
SIVA1	684	547	556	592	689	576
SIX1	1270	914	1123	1197	1029	938
SIX2	48	26	55	40	12	27
SIX3	14	1	5	4	0	0
SIX4	221	160	179	192	137	173
SIX5	174	156	112	126	222	118
SIX6	2	9	4	0	0	1
SKA1	0	0	0	3	1	2
SKA2	499	422	444	407	366	456
SKA3	340	303	306	343	368	287
SKAP1	5	0	16	10	7	18
SKAP2	132	167	153	136	191	115
SKI	1288	889	888	990	865	908
SKIDA1	180	178	121	115	137	174
SKIL	614	461	677	948	825	855
SKIV2L	0	0	0	0	0	0
SKOR1	14	8	10	13	14	9
SKOR2	0	0	0	0	0	0
SKP1	974	786	1010	877	1055	857
SKP2	822	650	824	636	472	628
SLA	0	0	0	0	0	0
SLA2	0	0	0	0	0	0
SLAIN1	277	212	238	217	206	136
SLAIN2	350	227	278	296	214	273
SLAMF1	0	0	0	0	0	0
SLAMF6	0	0	0	0	0	0
SLAMF7	0	0	0	0	0	0
SLAMF8	0	0	0	0	0	0
SLAMF9	0	0	0	0	0	0
SLBP	811	541	584	715	607	657
SLC10A1	0	0	0	0	0	0
SLC10A2	0	0	0	0	0	0
SLC10A3	101	56	69	65	94	127
SLC10A4	48	29	27	25	15	36
SLC10A5	0	0	0	0	0	0
SLC10A6	0	0	0	0	0	0
SLC10A7	135	143	112	194	292	192
SLC11A1	0	4	4	13	0	10
SLC11A2	390	274	270	434	349	384
SLC12A1	0	1	1	1	0	0
SLC12A2	520	437	488	493	444	465
SLC12A3	0	0	0	0	0	0
SLC12A4	9	1	0	2	1	3
SLC12A5	9	4	0	5	5	1
SLC12A6	64	49	77	67	71	70
SLC12A7	0	0	0	0	0	0
SLC12A8	1	0	17	0	1	0
SLC12A9	66	80	86	40	45	49
SLC13A1	0	0	0	0	0	0
SLC13A2	0	0	7	0	0	0
SLC13A3	4	4	4	2	0	9
SLC13A4	11	12	7	3	3	10
SLC13A5	0	0	0	0	0	0
SLC14A1	4	0	0	0	0	0
SLC14A2	0	0	0	0	0	0
SLC15A1	0	0	0	1	0	6
SLC15A2	0	11	12	12	7	0
SLC15A3	0	0	0	0	0	0
SLC15A4	345	290	317	307	302	234
SLC15A5	0	0	0	0	0	0
SLC16A1	0	0	0	0	0	0
SLC16A10	310	250	298	234	222	325
SLC16A11	0	0	0	0	0	3
SLC16A12	0	0	0	0	0	0
SLC16A13	6	0	5	9	3	0
SLC16A14	34	93	73	50	71	64
SLC16A2	30	28	35	22	32	23
SLC16A3	0	0	0	0	0	0
SLC16A4	8	12	17	21	19	18
SLC16A5	3	8	0	2	3	0
SLC16A6	79	36	55	43	23	25
SLC16A7	4	2	1	4	0	4
SLC16A8	0	0	0	0	0	0
SLC16A9	170	181	137	118	105	134
SLC17A1	0	0	0	0	0	0
SLC17A2	0	0	0	0	0	0
SLC17A3	0	0	0	0	0	0
SLC17A4	0	0	0	0	0	0
SLC17A5	139	139	183	104	65	97
SLC17A6	0	0	0	0	0	0
SLC17A7	8	0	0	0	0	0
SLC17A8	0	0	0	0	0	2
SLC17A9	0	0	2	2	0	0
SLC18A1	0	0	2	0	4	0
SLC18A2	0	0	2	0	0	0
SLC18A3	0	0	0	0	0	0
SLC18B1	102	80	126	97	90	77
SLC19A1	337	267	319	258	257	249
SLC19A2	137	167	159	251	276	241
SLC19A3	17	10	3	3	0	0
SLC1A1	15	21	6	13	0	11
SLC1A2	1	1	0	0	3	1
SLC1A3	274	182	249	323	294	308
SLC1A4	69	30	30	117	147	176
SLC1A5	947	708	793	1070	991	850
SLC1A6	0	0	3	0	0	0
SLC1A7	4	0	0	0	0	0
SLC20A1	543	425	392	631	614	489
SLC20A2	108	137	127	138	156	117
SLC22A1	3	7	0	12	0	8
SLC22A10	0	0	0	0	0	0
SLC22A11	0	0	0	0	12	0
SLC22A12	0	0	0	0	0	0
SLC22A13	1	0	4	0	0	0
SLC22A14	0	0	0	0	5	0
SLC22A15	35	25	31	32	61	66
SLC22A16	0	0	0	0	0	0
SLC22A17	10	21	7	7	12	9
SLC22A18	0	0	0	0	0	0
SLC22A18AS	0	0	0	0	0	0
SLC22A2	0	0	0	0	0	0
SLC22A23	165	119	110	148	178	109
SLC22A24	0	0	0	0	0	0
SLC22A25	0	0	0	0	0	0
SLC22A3	0	0	0	0	0	0
SLC22A31	1	0	0	1	0	1
SLC22A4	0	0	2	0	0	5
SLC22A5	112	86	70	73	67	79
SLC22A6	1	7	0	4	0	0
SLC22A7	0	0	0	0	0	0
SLC22A8	0	0	0	0	0	0
SLC22A9	0	0	0	0	0	0
SLC23A1	0	0	0	0	0	0
SLC23A2	140	156	128	136	159	148
SLC23A3	5	5	0	0	0	2
SLC24A1	60	8	42	22	22	42
SLC24A2	1	1	6	3	0	0
SLC24A3	0	0	0	0	0	0
SLC24A4	18	11	12	11	6	1
SLC24A5	0	0	0	0	0	0
SLC25A1	248	214	192	176	138	166
SLC25A10	49	41	34	6	32	40
SLC25A11	211	175	163	202	185	209
SLC25A12	135	75	146	148	191	140
SLC25A13	345	257	328	534	455	302
SLC25A14	57	50	50	94	95	55
SLC25A15	203	161	152	189	161	176
SLC25A16	403	233	299	474	410	377
SLC25A17	500	345	456	444	494	403
SLC25A18	0	0	0	0	0	0
SLC25A19	324	171	219	288	283	313
SLC25A2	0	0	0	0	0	0
SLC25A20	55	48	26	34	88	79
SLC25A21	38	8	43	21	24	48
SLC25A22	93	80	86	57	58	71
SLC25A23	19	15	40	23	13	13
SLC25A24	3	0	0	7	0	2
SLC25A25	256	189	161	324	348	352
SLC25A26	0	0	0	0	0	0
SLC25A27	14	17	22	15	28	26
SLC25A28	240	216	206	216	186	253
SLC25A29	41	53	43	76	68	34
SLC25A3	949	790	717	811	878	828
SLC25A30	93	84	101	81	157	79
SLC25A31	0	0	0	0	0	0
SLC25A32	255	158	184	172	295	223
SLC25A33	434	483	423	456	415	406
SLC25A34	0	0	0	1	8	2
SLC25A35	19	31	8	7	22	17
SLC25A36	909	642	735	952	872	826
SLC25A37	480	388	415	424	435	440
SLC25A38	350	243	231	334	237	298
SLC25A39	177	139	223	198	226	180
SLC25A4	214	159	142	183	171	148
SLC25A40	125	104	144	153	222	128
SLC25A41	0	0	0	0	0	0
SLC25A42	17	39	28	40	25	47
SLC25A43	2	4	0	0	0	2
SLC25A44	265	188	283	253	272	202
SLC25A45	4	5	2	22	11	8
SLC25A46	214	238	218	255	275	274
SLC25A47	0	0	0	0	0	0
SLC25A48	42	35	25	35	44	27
SLC25A5	2167	1962	1803	2157	2141	1784
SLC25A51	12	5	4	12	9	9
SLC25A52	0	0	0	0	0	0
SLC25A53	2	3	1	16	1	15
SLC25A6	0	0	0	0	0	0
SLC26A1	6	8	36	4	18	15
SLC26A11	79	35	44	50	44	67
SLC26A2	309	251	267	223	228	249
SLC26A3	1	0	0	0	1	0
SLC26A4	1	0	0	0	12	0
SLC26A5	0	5	2	0	0	0
SLC26A6	10	3	4	3	0	8
SLC26A7	0	0	0	7	0	0
SLC26A8	6	2	0	1	0	3
SLC26A9	0	0	0	0	0	0
SLC27A1	16	19	13	9	2	3
SLC27A2	45	50	66	58	37	56
SLC27A3	0	0	0	0	0	0
SLC27A4	43	22	48	31	17	24
SLC27A5	6	4	3	15	13	18
SLC27A6	1	5	1	3	0	0
SLC28A1	0	0	0	1	0	0
SLC28A2	0	2	0	1	7	1
SLC28A3	0	0	0	0	0	0
SLC29A1	373	226	239	277	247	321
SLC29A2	57	33	52	44	49	57
SLC29A3	42	24	37	30	35	37
SLC29A4	0	0	0	0	0	0
SLC2A1	437	539	430	561	501	459
SLC2A10	3	15	14	8	0	3
SLC2A11	0	0	0	0	0	0
SLC2A12	47	40	50	14	29	8
SLC2A13	260	229	221	249	255	219
SLC2A14	0	0	1	0	0	0
SLC2A2	0	0	0	0	0	0
SLC2A3	17	9	14	30	12	16
SLC2A4	0	0	0	0	0	0
SLC2A4RG	221	195	122	189	163	188
SLC2A5	0	0	0	0	0	0
SLC2A6	0	0	0	0	0	0
SLC2A7	0	0	0	0	5	0
SLC2A8	75	79	93	101	91	87
SLC2A9	0	0	0	0	0	0
SLC30A1	390	346	459	648	778	678
SLC30A10	189	104	123	119	111	113
SLC30A2	0	0	0	0	0	0
SLC30A3	14	23	21	27	33	22
SLC30A4	29	38	30	43	28	29
SLC30A5	347	265	284	445	460	379
SLC30A6	319	221	261	328	284	350
SLC30A7	387	372	287	450	406	457
SLC30A8	0	0	0	0	0	0
SLC30A9	186	213	178	312	321	288
SLC31A1	189	161	181	189	220	188
SLC31A2	20	17	37	15	2	21
SLC32A1	0	0	0	0	0	0
SLC33A1	245	249	237	623	643	658
SLC34A1	0	0	0	0	0	0
SLC34A2	0	0	0	0	0	0
SLC34A3	0	0	0	0	0	0
SLC35A1	73	83	117	141	96	172
SLC35A2	232	216	188	241	250	145
SLC35A3	290	282	239	372	369	334
SLC35A4	261	232	284	335	308	207
SLC35A5	78	68	74	90	85	89
SLC35B1	339	284	263	564	618	522
SLC35B2	181	130	128	124	89	128
SLC35B3	61	91	112	59	85	78
SLC35B4	492	393	365	391	427	370
SLC35C1	44	40	23	78	33	58
SLC35C2	154	160	114	161	161	157
SLC35D1	288	197	238	330	239	265
SLC35D2	53	32	34	44	47	58
SLC35D3	31	9	16	10	12	17
SLC35E1	455	409	488	474	465	415
SLC35E2B	109	56	69	101	71	121
SLC35E3	505	436	470	481	514	504
SLC35E4	44	21	44	7	33	30
SLC35F1	196	146	185	168	183	160
SLC35F2	360	211	237	172	283	205
SLC35F3	0	5	0	0	0	0
SLC35F4	0	0	3	0	0	0
SLC35F5	205	198	245	175	192	193
SLC35F6	125	114	145	105	90	93
SLC35G1	197	176	144	240	152	187
SLC35G2	81	48	62	110	124	100
SLC35G3	0	0	0	0	0	0
SLC35G5	0	0	0	0	0	0
SLC35G6	0	0	0	0	0	0
SLC36A1	98	118	115	129	86	103
SLC36A2	0	0	0	0	0	0
SLC36A3	0	0	0	0	0	0
SLC36A4	216	138	156	192	155	181
SLC37A1	41	79	40	77	70	67
SLC37A2	0	3	0	0	0	0
SLC37A3	670	475	463	492	545	408
